idx1	idx2	id1	id2	tani	gani	ani	cov	num_alns	len_ratio
4	2	NC_002486.alt	NC_005091.alt1	0.000427	0.000964	0.543210	0.001775	1	0.794291
2	5	NC_005091.alt1	NC_002486.ref	0.001426	0	0	0	0	1.258984
5	2	NC_002486.ref	NC_005091.alt1	0.001426	0.003221	0.503425	0.006398	3	0.794291
2	6	NC_005091.alt1	NC_025457.ref	0.002397	0.002506	0.553846	0.004525	3	1.347001
6	2	NC_025457.ref	NC_005091.alt1	0.002397	0.002251	0.596273	0.003775	2	0.742390
2	7	NC_005091.alt1	NC_025457.alt1	0.001188	0.001184	0.544000	0.002176	1	1.399089
7	2	NC_025457.alt1	NC_005091.alt1	0.001188	0.001193	0.604938	0.001972	1	0.714751
2	8	NC_005091.alt1	NC_010807.alt2	0.005693	0.005465	0.551845	0.009903	6	1.416718
8	2	NC_010807.alt2	NC_005091.alt1	0.005693	0.006017	0.531590	0.011318	5	0.705857
2	9	NC_005091.alt1	NC_010807.alt3	0.003616	0.003377	0.557471	0.006057	4	1.440300
9	2	NC_010807.alt3	NC_005091.alt1	0.003616	0.003961	0.552448	0.007170	3	0.694300
2	10	NC_005091.alt1	NC_010807.alt1	0.003189	0.002785	0.581818	0.004786	3	1.480227
10	2	NC_010807.alt1	NC_005091.alt1	0.003189	0.003787	0.546468	0.006930	3	0.675572
2	11	NC_005091.alt1	NC_010807.ref	0.002576	0.001775	0.531250	0.003342	2	1.480227
11	2	NC_010807.ref	NC_005091.alt1	0.002576	0.003761	0.542751	0.006930	3	0.675572
3	4	NC_005091.ref	NC_002486.alt	0.002988	0.003481	0.480769	0.007240	4	1.258984
4	3	NC_002486.alt	NC_005091.ref	0.002988	0.002367	0.596685	0.003966	2	0.794291
3	5	NC_005091.ref	NC_002486.ref	0.002735	0.003481	0.480769	0.007240	4	1.258984
5	3	NC_002486.ref	NC_005091.ref	0.002735	0.001797	0.491018	0.003659	2	0.794291
3	6	NC_005091.ref	NC_025457.ref	0.000509	0	0	0	0	1.347001
6	3	NC_025457.ref	NC_005091.ref	0.000509	0.001196	0.637500	0.001876	1	0.742390
3	7	NC_005091.ref	NC_025457.alt1	0.001076	0.000801	0.528736	0.001514	1	1.399089
7	3	NC_025457.alt1	NC_005091.ref	0.001076	0.001461	0.631579	0.002313	1	0.714751
3	8	NC_005091.ref	NC_010807.alt2	0.004438	0.005883	0.587826	0.010008	6	1.416718
8	3	NC_010807.alt2	NC_005091.ref	0.004438	0.002392	0.554286	0.004315	2	0.705857
3	9	NC_005091.ref	NC_010807.alt3	0.004541	0.004839	0.591489	0.008180	5	1.440300
9	3	NC_010807.alt3	NC_005091.ref	0.004541	0.004111	0.557823	0.007370	3	0.694300
3	10	NC_005091.ref	NC_010807.alt1	0.003334	0.003899	0.586387	0.006649	4	1.480227
10	3	NC_010807.alt1	NC_005091.ref	0.003334	0.002499	0.584337	0.004277	2	0.675572
3	11	NC_005091.ref	NC_010807.ref	0.003407	0.003011	0.586441	0.005134	3	1.480227
11	3	NC_010807.ref	NC_005091.ref	0.003407	0.003993	0.589354	0.006776	3	0.675572
4	5	NC_002486.alt	NC_002486.ref	0.999945	1.000000	1.000000	1.000000	3	1.000000
5	4	NC_002486.ref	NC_002486.alt	0.999945	0.999890	0.999890	1.000000	3	1.000000
4	6	NC_002486.alt	NC_025457.ref	0.013127	0.012731	0.570727	0.022307	11	1.069911
6	4	NC_025457.ref	NC_002486.alt	0.013127	0.013551	0.579739	0.023374	11	0.934657
4	7	NC_002486.alt	NC_025457.alt1	0.007405	0.010781	0.578824	0.018626	9	1.111284
7	4	NC_025457.alt1	NC_002486.alt	0.007405	0.003653	0.576923	0.006331	3	0.899860
4	8	NC_002486.alt	NC_010807.alt2	0.003515	0.004580	0.595442	0.007691	4	1.125287
8	4	NC_010807.alt2	NC_002486.alt	0.003515	0.002318	0.534091	0.004340	2	0.888662
4	9	NC_002486.alt	NC_010807.alt3	0.004946	0.005916	0.552147	0.010715	5	1.144017
9	4	NC_010807.alt3	NC_002486.alt	0.004946	0.003835	0.529412	0.007245	3	0.874113
4	10	NC_002486.alt	NC_010807.alt1	0.003659	0.003287	0.551471	0.005960	3	1.175731
10	4	NC_010807.alt1	NC_002486.alt	0.003659	0.004096	0.554007	0.007394	3	0.850535
4	11	NC_002486.alt	NC_010807.ref	0.004215	0.004404	0.561453	0.007845	4	1.175731
11	4	NC_010807.ref	NC_002486.alt	0.004215	0.003993	0.540070	0.007394	3	0.850535
5	6	NC_002486.ref	NC_025457.ref	0.012402	0.011329	0.578300	0.019590	10	1.069911
6	5	NC_025457.ref	NC_002486.ref	0.012402	0.013551	0.579739	0.023374	11	0.934657
5	7	NC_002486.ref	NC_025457.alt1	0.007186	0.010365	0.581081	0.017837	8	1.111284
7	5	NC_025457.alt1	NC_002486.ref	0.007186	0.003653	0.576923	0.006331	3	0.899860
5	8	NC_002486.ref	NC_010807.alt2	0.002158	0.002016	0.554217	0.003637	2	1.125287
8	5	NC_010807.alt2	NC_002486.ref	0.002158	0.002318	0.534091	0.004340	2	0.888662
5	9	NC_002486.ref	NC_010807.alt3	0.004747	0.005544	0.541756	0.010233	5	1.144017
9	5	NC_010807.alt3	NC_002486.ref	0.004747	0.003835	0.529412	0.007245	3	0.874113
5	10	NC_002486.ref	NC_010807.alt1	0.002913	0.001906	0.514793	0.003703	2	1.175731
10	5	NC_010807.alt1	NC_002486.ref	0.002913	0.004096	0.554007	0.007394	3	0.850535
5	11	NC_002486.ref	NC_010807.ref	0.003469	0.003024	0.541176	0.005588	3	1.175731
11	5	NC_010807.ref	NC_002486.ref	0.003469	0.003993	0.540070	0.007394	3	0.850535
6	7	NC_025457.ref	NC_025457.alt1	0.793287	0.757702	0.980195	0.773011	86	1.038669
7	6	NC_025457.alt1	NC_025457.ref	0.793287	0.830249	0.983642	0.844056	88	0.962770
6	8	NC_025457.ref	NC_010807.alt2	0.003029	0.003540	0.551095	0.006424	3	1.051757
8	6	NC_010807.alt2	NC_025457.ref	0.003029	0.002490	0.583815	0.004266	2	0.950790
6	9	NC_025457.ref	NC_010807.alt3	0.006651	0.005838	0.583138	0.010011	5	1.069264
9	6	NC_010807.alt3	NC_025457.ref	0.006651	0.007520	0.560748	0.013412	6	0.935223
6	10	NC_025457.ref	NC_010807.alt1	0.006432	0.007080	0.587549	0.012050	6	1.098905
10	6	NC_010807.alt1	NC_025457.ref	0.006432	0.005719	0.596774	0.009584	4	0.909997
6	11	NC_025457.ref	NC_010807.ref	0.006972	0.008581	0.569207	0.015075	7	1.098905
11	6	NC_010807.ref	NC_025457.ref	0.006972	0.005204	0.583815	0.008914	4	0.909997
7	8	NC_025457.alt1	NC_010807.alt2	0.004080	0.003823	0.547038	0.006989	3	1.012600
8	7	NC_010807.alt2	NC_025457.alt1	0.004080	0.004340	0.533333	0.008137	4	0.987557
7	9	NC_025457.alt1	NC_010807.alt3	0.005151	0.003433	0.528090	0.006502	3	1.029455
9	7	NC_010807.alt3	NC_025457.alt1	0.005151	0.006919	0.554217	0.012484	5	0.971388
7	10	NC_025457.alt1	NC_010807.alt1	0.004882	0.004700	0.554598	0.008474	4	1.057993
10	7	NC_010807.alt1	NC_025457.alt1	0.004882	0.005075	0.511688	0.009919	4	0.945186
7	11	NC_025457.alt1	NC_010807.ref	0.005759	0.006039	0.547461	0.011031	5	1.057993
11	7	NC_010807.ref	NC_025457.alt1	0.005759	0.005462	0.539440	0.010125	4	0.945186
8	9	NC_010807.alt2	NC_010807.alt3	0.969793	0.980939	0.986608	0.994255	51	1.016645
9	8	NC_010807.alt3	NC_010807.alt2	0.969793	0.958462	0.985184	0.972876	48	0.983627
8	10	NC_010807.alt2	NC_010807.alt1	0.986229	0.986266	0.986363	0.999901	29	1.044828
10	8	NC_010807.alt1	NC_010807.alt2	0.986229	0.986191	0.986216	0.999974	28	0.957095
8	11	NC_010807.alt2	NC_010807.ref	0.989467	0.989693	0.989693	1.000000	8	1.044828
11	8	NC_010807.ref	NC_010807.alt2	0.989467	0.989231	0.989231	1.000000	8	0.957095
9	10	NC_010807.alt3	NC_010807.alt1	0.971502	0.958863	0.992810	0.965807	58	1.027721
10	9	NC_010807.alt1	NC_010807.alt3	0.971502	0.984491	0.993113	0.991318	56	0.973026
9	11	NC_010807.alt3	NC_010807.ref	0.982555	0.968865	0.995800	0.972951	44	1.027721
11	9	NC_010807.ref	NC_010807.alt3	0.982555	0.996625	0.996676	0.999948	44	0.973026
10	11	NC_010807.alt1	NC_010807.ref	0.996664	0.996548	0.996548	1.000000	22	1.000000
11	10	NC_010807.ref	NC_010807.alt1	0.996664	0.996780	0.996780	1.000000	22	1.000000
