query	reference	pident	alnlen	qstart	qend	rstart	rend	nt_match	nt_mismatch
NC_025457.alt2	NC_025457.ref	89.2193	269	15633	15901	10336	10604	240	29
NC_025457.alt2	NC_025457.ref	80.8271	266	63785	64050	42382	42636	215	51
NC_025457.alt2	NC_025457.ref	98.1061	264	28443	28706	18358	18621	259	5
NC_025457.alt2	NC_025457.ref	95.3488	258	27168	27425	17540	17797	246	12
NC_025457.alt2	NC_025457.ref	94.1634	257	59089	59345	39378	39634	242	15
NC_025457.alt2	NC_025457.ref	85.3755	253	50712	50964	33962	34204	216	37
NC_025457.alt2	NC_025457.ref	90.0794	252	43284	43535	28775	29026	227	25
NC_025457.alt2	NC_025457.ref	1e+02	252	45497	45748	12133	12384	252	0
NC_025457.alt2	NC_025457.ref	90.3614	249	290	538	140	388	225	24
NC_025457.alt2	NC_025457.ref	90.7631	249	56801	57049	37851	38099	226	23
NC_025457.alt2	NC_025457.ref	91.9355	248	9417	9664	6475	6722	228	20
NC_025457.alt2	NC_025457.ref	1e+02	246	12041	12286	33124	32879	246	0
NC_025457.alt2	NC_025457.ref	91.3934	244	17300	17543	11055	11298	223	21
NC_025457.alt2	NC_025457.ref	95.9016	244	42843	43086	28541	28784	234	10
NC_025457.alt2	NC_025457.ref	88.1148	244	45253	45496	30036	30279	215	29
NC_025457.alt2	NC_025457.ref	93.0328	244	48014	48257	31645	31888	227	17
NC_025457.alt2	NC_025457.ref	97.5	240	5875	6114	4404	4643	234	6
NC_025457.alt2	NC_025457.ref	90.8333	240	52203	52442	34881	35120	218	22
NC_025457.alt2	NC_025457.ref	90.3361	238	21046	21283	13571	13808	215	23
NC_025457.alt2	NC_025457.ref	95.7447	235	55735	55969	37333	37601	225	10
NC_025457.alt2	NC_025457.ref	88.8412	233	38840	39072	25688	25920	207	26
NC_025457.alt2	NC_025457.ref	90.5172	232	24832	25063	16178	16409	210	22
NC_025457.alt2	NC_025457.ref	89.1304	230	37452	37681	24719	24948	205	25
NC_025457.alt2	NC_025457.ref	79.4760	229	44110	44338	29267	29461	182	47
NC_025457.alt2	NC_025457.ref	90.7895	228	4574	4801	3247	3472	207	21
NC_025457.alt2	NC_025457.ref	86.4035	228	43773	44000	29059	29268	197	31
NC_025457.alt2	NC_025457.ref	96.875	224	6565	6788	4770	4993	217	7
NC_025457.alt2	NC_025457.ref	96.3636	220	42623	42842	28478	28697	212	8
NC_025457.alt2	NC_025457.ref	89.3519	216	51176	51391	34203	34415	193	23
NC_025457.alt2	NC_025457.ref	99.5327	214	19901	20114	12796	13009	213	1
NC_025457.alt2	NC_025457.ref	87.8505	214	35813	36026	23628	23841	188	26
NC_025457.alt2	NC_025457.ref	92.3445	209	40199	40407	26605	26813	193	16
NC_025457.alt2	NC_025457.ref	87.9808	208	3137	3344	1996	2203	183	25
NC_025457.alt2	NC_025457.ref	91.4573	199	2796	2994	1797	1995	182	17
NC_025457.alt2	NC_025457.ref	96.9388	196	14043	14238	15359	15164	190	6
NC_025457.alt2	NC_025457.ref	96.3918	194	57153	57346	38089	38282	187	7
NC_025457.alt2	NC_025457.ref	98.9637	193	57347	57539	38104	38296	191	2
NC_025457.alt2	NC_025457.ref	87.3684	190	20572	20761	13283	13472	166	24
NC_025457.alt2	NC_025457.ref	1e+02	188	8312	8499	30923	31110	188	0
NC_025457.alt2	NC_025457.ref	92.5532	188	12745	12932	9001	9188	174	14
NC_025457.alt2	NC_025457.ref	95.7219	187	51768	51954	34556	34742	179	8
NC_025457.alt2	NC_025457.ref	93.9891	183	58271	58453	38539	38721	172	11
NC_025457.alt2	NC_025457.ref	73.0769	182	48701	48882	32303	32450	133	49
NC_025457.alt2	NC_025457.ref	90.1099	182	56513	56694	37668	37849	164	18
NC_025457.alt2	NC_025457.ref	98.3333	180	23118	23297	15349	15528	177	3
NC_025457.alt2	NC_025457.ref	86.0335	179	16844	17022	10873	11051	154	25
NC_025457.alt2	NC_025457.ref	90.3409	176	61575	61750	40960	41135	159	17
NC_025457.alt2	NC_025457.ref	97.7143	175	33405	33579	21861	22035	171	4
NC_025457.alt2	NC_025457.ref	88.5057	174	16550	16723	10700	10873	154	20
NC_025457.alt2	NC_025457.ref	98.7805	164	49934	50097	33512	33675	162	2
NC_025457.alt2	NC_025457.ref	85.2761	163	17739	17901	11300	11462	139	24
NC_025457.alt2	NC_025457.ref	84.0491	163	39238	39400	25898	26060	137	26
NC_025457.alt2	NC_025457.ref	98.7730	163	51955	52117	34633	34795	161	2
NC_025457.alt2	NC_025457.ref	92.4051	158	32427	32584	21334	21491	146	12
NC_025457.alt2	NC_025457.ref	94.9045	157	58114	58270	38467	38623	149	8
NC_025457.alt2	NC_025457.ref	87.7419	155	29168	29322	18740	18894	136	19
NC_025457.alt2	NC_025457.ref	71.6129	155	57828	57982	38367	38505	111	44
NC_025457.alt2	NC_025457.ref	90.9091	154	15132	15285	10121	10274	140	14
NC_025457.alt2	NC_025457.ref	98.7013	154	23298	23451	15392	15545	152	2
NC_025457.alt2	NC_025457.ref	1e+02	154	63631	63784	3019	3172	154	0
NC_025457.alt2	NC_025457.ref	96.0784	153	1930	2082	1237	1389	147	6
NC_025457.alt2	NC_025457.ref	88.0795	151	33796	33946	22045	22195	133	18
NC_025457.alt2	NC_025457.ref	86.6667	150	13053	13202	9176	9325	130	20
NC_025457.alt2	NC_025457.ref	91.1565	147	8500	8646	5882	6028	134	13
NC_025457.alt2	NC_025457.ref	88.0282	142	51444	51585	34409	34550	125	17
NC_025457.alt2	NC_025457.ref	92.9078	141	2592	2732	1656	1796	131	10
NC_025457.alt2	NC_025457.ref	89.2857	140	1	140	1	140	125	15
NC_025457.alt2	NC_025457.ref	1e+02	140	49794	49933	33511	33372	140	0
NC_025457.alt2	NC_025457.ref	89.9281	139	23905	24043	15656	15794	125	14
NC_025457.alt2	NC_025457.ref	84.6715	137	28814	28950	18621	18769	116	21
NC_025457.alt2	NC_025457.ref	87.4016	127	1100	1226	817	943	111	16
NC_025457.alt2	NC_025457.ref	1e+02	120	17902	18021	32124	32243	120	0
NC_025457.alt2	NC_025457.ref	1e+02	119	39401	39519	26178	26060	119	0
NC_025457.alt2	NC_025457.ref	1e+02	118	33580	33697	21934	22051	118	0
NC_025457.alt2	NC_025457.ref	1e+02	117	43656	43772	29027	29143	117	0
NC_025457.alt2	NC_025457.ref	74.1379	116	13672	13787	9472	9561	86	30
NC_025457.alt2	NC_025457.ref	1e+02	114	23788	23901	23309	23196	114	0
NC_025457.alt2	NC_025457.ref	1e+02	114	58681	58794	39204	39091	114	0
NC_025457.alt2	NC_025457.ref	90.1786	112	47042	47153	31214	31325	101	11
NC_025457.alt2	NC_025457.ref	81.0811	111	6998	7108	4990	5093	90	21
NC_025457.alt2	NC_025457.ref	89.6226	106	44381	44486	29462	29567	95	11
NC_025457.alt2	NC_025457.ref	1e+02	106	56695	56800	19719	19824	106	0
NC_025457.alt2	NC_025457.ref	91.4286	105	20894	20998	13473	13577	96	9
NC_025457.alt2	NC_025457.ref	92.1569	102	23686	23787	15553	15654	94	8
NC_025457.alt2	NC_025457.ref	84.3137	102	62398	62499	41227	41328	86	16
NC_025457.alt2	NC_025457.ref	1e+02	101	34527	34627	22798	22698	101	0
NC_025457.alt2	NC_025457.ref	89.1089	101	49450	49550	33127	33227	90	11
NC_025457.alt2	NC_025457.ref	1e+02	96	44487	44582	29653	29558	96	0
NC_025457.alt2	NC_025457.ref	91.4894	94	39523	39616	26183	26276	86	8
NC_025457.alt2	NC_025457.ref	1e+02	94	54104	54197	18988	18895	94	0
NC_025457.alt2	NC_025457.ref	91.3043	92	13336	13427	9329	9420	84	8
NC_025457.alt2	NC_025457.ref	1e+02	91	40408	40498	26904	26814	91	0
NC_025457.alt2	NC_025457.ref	89.5349	86	18022	18107	11463	11548	77	9
NC_025457.alt2	NC_025457.ref	89.5349	86	33233	33318	21772	21857	77	9
NC_025457.alt2	NC_025457.ref	1e+02	85	52118	52202	34880	34796	85	0
NC_025457.alt2	NC_025457.ref	1e+02	84	36671	36754	24349	24266	84	0
NC_025457.alt2	NC_025457.ref	1e+02	83	33319	33401	33312	33230	83	0
NC_025457.alt2	NC_025457.ref	86.5854	82	29325	29406	18991	19072	71	11
NC_025457.alt2	NC_025457.ref	91.4634	82	57699	57780	38297	38378	75	7
NC_025457.alt2	NC_025457.ref	9e+01	80	58601	58680	39011	39090	72	8
NC_025457.alt2	NC_025457.ref	87.0130	77	8200	8276	5779	5855	67	10
NC_025457.alt2	NC_025457.ref	89.0411	73	25147	25219	16410	16482	65	8
NC_025457.alt2	NC_025457.ref	89.5522	67	18996	19062	12056	12122	60	7
NC_025457.alt2	NC_025457.ref	89.0625	64	21309	21372	13814	13877	57	7
NC_025457.alt2	NC_025457.ref	88.7097	62	61977	62038	41135	41196	55	7
NC_025457.alt2	NC_025457.ref	90.1639	61	26968	27028	17479	17539	55	6
NC_025457.alt2	NC_025457.ref	59.0164	61	47179	47239	33755	33810	36	25
NC_025457.alt2	NC_025457.ref	91.6667	60	24275	24334	15830	15889	55	5
NC_025457.alt2	NC_025457.ref	87.9310	58	15459	15516	10278	10335	51	7
NC_025457.alt2	NC_025457.ref	39.6552	58	20514	20571	5303	5258	23	35
NC_025457.alt2	NC_025457.ref	42.8571	56	4305	4360	18282	18236	24	32
NC_025457.alt2	NC_025457.ref	48.2143	56	40606	40661	24568	24480	27	29
NC_025457.alt2	NC_025457.ref	96.3636	55	4199	4253	3175	3229	53	2
NC_025457.alt2	NC_025457.ref	89.0909	55	21497	21551	13880	13934	49	6
NC_025457.alt2	NC_025457.ref	90.5660	53	16301	16353	10644	10696	48	5
NC_025457.alt2	NC_025457.ref	96.2264	53	30208	30260	19666	19718	51	2
NC_025457.alt2	NC_025457.ref	94.3396	53	48628	48680	32250	32302	50	3
NC_025457.alt2	NC_025457.ref	90.1961	51	13482	13532	9419	9469	46	5
NC_025457.alt2	NC_025457.ref	88.2353	51	46651	46701	31111	31161	45	6
NC_025457.alt2	NC_025457.ref	88	50	36125	36174	23843	23892	44	6
NC_025457.alt2	NC_025457.ref	92	50	46830	46879	31161	31210	46	4
NC_025457.alt2	NC_025457.ref	83.6735	49	44583	44631	29664	29712	41	8
NC_025457.alt2	NC_025457.ref	95.9184	49	52550	52598	35123	35171	47	2
NC_025457.alt2	NC_025457.ref	62.5	48	1034	1081	41979	42030	30	18
NC_025457.alt2	NC_025457.ref	65.2174	46	5261	5306	8881	8931	30	16
NC_025457.alt2	NC_025457.ref	90.9091	44	62217	62260	41199	41242	40	4
NC_025457.alt2	NC_025457.ref	95.4545	44	64121	64164	42611	42654	42	2
NC_025457.alt2	NC_025457.ref	54.7619	42	61012	61053	36901	36966	23	19
NC_025457.alt2	NC_025457.ref	58.5366	41	17613	17653	21438	21376	24	17
NC_025457.alt2	NC_025457.ref	82.0513	39	24142	24180	15795	15833	32	7
NC_025457.alt2	NC_025457.ref	65.7895	38	44755	44792	27348	27376	25	13
NC_025457.alt2	NC_025457.ref	94.7368	38	49756	49793	33334	33371	36	2
NC_025457.alt2	NC_025457.ref	97.1429	35	16146	16180	10607	10641	34	1
NC_025457.alt2	NC_025457.ref	65.7143	35	47952	47986	38289	38255	23	12
NC_025457.alt2	NC_010807.alt1	51.1450	131	21254	21384	35412	35196	67	64
NC_025457.alt2	NC_010807.alt1	49.4505	91	40328	40418	33475	33548	45	46
NC_025457.alt2	NC_010807.alt1	60.7143	84	31469	31552	4319	4403	51	33
NC_025457.alt2	NC_010807.alt1	56.3380	71	36506	36576	16728	16828	40	31
NC_025457.alt2	NC_010807.alt1	60.2941	68	13960	14027	9899	9972	41	27
NC_025457.alt2	NC_010807.alt1	54.5455	66	5961	6026	26271	26180	36	30
NC_025457.alt2	NC_010807.alt1	54.5455	66	6125	6190	26271	26180	36	30
NC_025457.alt2	NC_010807.alt1	5e+01	66	19219	19284	14012	13962	33	33
NC_025457.alt2	NC_010807.alt1	54.5455	66	28202	28267	10783	10698	36	30
NC_025457.alt2	NC_010807.alt1	44.6154	65	5626	5690	11762	11833	29	36
NC_025457.alt2	NC_010807.alt1	54.2373	59	13008	13066	34992	34906	32	27
NC_025457.alt2	NC_010807.alt1	47.4576	59	46853	46911	29693	29737	28	31
NC_025457.alt2	NC_010807.alt1	43.1034	58	52520	52577	27622	27572	25	33
NC_025457.alt2	NC_010807.alt1	61.4035	57	17239	17295	35144	35051	35	22
NC_025457.alt2	NC_010807.alt1	49.1228	57	19056	19112	17986	17941	28	29
NC_025457.alt2	NC_010807.alt1	47.3684	57	45810	45866	36171	36214	27	30
NC_025457.alt2	NC_010807.alt1	59.6491	57	58063	58119	34835	34787	34	23
NC_025457.alt2	NC_010807.alt1	60.7143	56	18450	18505	36510	36596	34	22
NC_025457.alt2	NC_010807.alt1	66.0714	56	21634	21689	13247	13330	37	19
NC_025457.alt2	NC_010807.alt1	47.2727	55	62576	62630	25051	25096	26	29
NC_025457.alt2	NC_010807.alt1	51.8519	54	2641	2694	26953	26998	28	26
NC_025457.alt2	NC_010807.alt1	57.6923	52	22304	22355	18017	17974	30	22
NC_025457.alt2	NC_010807.alt1	54.9020	51	13087	13137	15562	15619	28	23
NC_025457.alt2	NC_010807.alt1	56.8627	51	26646	26696	15322	15411	29	22
NC_025457.alt2	NC_010807.alt1	5e+01	50	2704	2753	16192	16247	25	25
NC_025457.alt2	NC_010807.alt1	56	50	4974	5023	18608	18687	28	22
NC_025457.alt2	NC_010807.alt1	66	50	46930	46979	29486	29532	33	17
NC_025457.alt2	NC_010807.alt1	57.1429	49	14283	14331	25350	25388	28	21
NC_025457.alt2	NC_010807.alt1	56.25	48	31245	31292	28879	28962	27	21
NC_025457.alt2	NC_010807.alt1	61.7021	47	39115	39161	37949	37888	29	18
NC_025457.alt2	NC_010807.alt1	63.8298	47	48565	48611	19067	19136	30	17
NC_025457.alt2	NC_010807.alt1	78.7234	47	57529	57575	21948	21913	37	10
NC_025457.alt2	NC_010807.alt1	69.5652	46	43632	43677	20392	20463	32	14
NC_025457.alt2	NC_010807.alt1	65.2174	46	60049	60094	23279	23222	30	16
NC_025457.alt2	NC_010807.alt1	55.5556	45	28296	28340	18524	18561	25	20
NC_025457.alt2	NC_010807.alt1	55.5556	45	28467	28511	18524	18561	25	20
NC_025457.alt2	NC_010807.alt1	64.4444	45	36330	36374	8844	8885	29	16
NC_025457.alt2	NC_010807.alt1	6e+01	45	37016	37060	145	191	27	18
NC_025457.alt2	NC_010807.alt1	52.3810	42	27880	27921	16092	16123	22	20
NC_025457.alt2	NC_010807.alt1	66.6667	42	30161	30202	25842	25788	28	14
NC_025457.alt2	NC_010807.alt1	58.5366	41	6473	6513	7528	7578	24	17
NC_025457.alt2	NC_010807.alt1	58.5366	41	6633	6673	7528	7578	24	17
NC_025457.alt2	NC_010807.alt1	7e+01	40	1743	1782	4197	4158	28	12
NC_025457.alt2	NC_010807.alt1	62.5	40	60956	60995	32659	32600	25	15
NC_025457.alt2	NC_010807.alt1	66.6667	39	46123	46161	1081	1145	26	13
NC_025457.alt2	NC_010807.alt1	65.7143	35	61971	62005	31013	30959	23	12
NC_025457.alt2	NC_010807.alt2	49.6183	131	21254	21384	36979	36763	65	66
NC_025457.alt2	NC_010807.alt2	49.4505	91	40328	40418	35042	35115	45	46
NC_025457.alt2	NC_010807.alt2	63.5135	74	31479	31552	5233	5307	47	27
NC_025457.alt2	NC_010807.alt2	56.3380	71	36506	36576	17788	17888	40	31
NC_025457.alt2	NC_010807.alt2	60.2941	68	13960	14027	11221	11294	41	27
NC_025457.alt2	NC_010807.alt2	54.5455	66	5961	6026	27304	27213	36	30
NC_025457.alt2	NC_010807.alt2	54.5455	66	6125	6190	27304	27213	36	30
NC_025457.alt2	NC_010807.alt2	5e+01	66	19219	19284	15363	15313	33	33
NC_025457.alt2	NC_010807.alt2	54.5455	66	28202	28267	12221	12136	36	30
NC_025457.alt2	NC_010807.alt2	55.9322	59	13008	13066	36559	36473	33	26
NC_025457.alt2	NC_010807.alt2	45.7627	59	46853	46911	30818	30863	27	32
NC_025457.alt2	NC_010807.alt2	48.2759	58	31245	31302	29912	29962	28	30
NC_025457.alt2	NC_010807.alt2	61.4035	57	17239	17295	36711	36618	35	22
NC_025457.alt2	NC_010807.alt2	49.1228	57	19056	19112	19046	19001	28	29
NC_025457.alt2	NC_010807.alt2	47.3684	57	45810	45866	37738	37781	27	30
NC_025457.alt2	NC_010807.alt2	59.6491	57	58063	58119	36402	36354	34	23
NC_025457.alt2	NC_010807.alt2	66.0714	56	21634	21689	14505	14588	37	19
NC_025457.alt2	NC_010807.alt2	52.7273	55	30533	30587	20867	20812	29	26
NC_025457.alt2	NC_010807.alt2	47.2727	55	62576	62630	26084	26129	26	29
NC_025457.alt2	NC_010807.alt2	51.8519	54	2641	2694	27986	28031	28	26
NC_025457.alt2	NC_010807.alt2	54.9020	51	13087	13137	1016	1073	28	23
NC_025457.alt2	NC_010807.alt2	56.8627	51	26646	26696	16389	16478	29	22
NC_025457.alt2	NC_010807.alt2	5e+01	50	2704	2753	17097	17152	25	25
NC_025457.alt2	NC_010807.alt2	68	50	4974	5023	19668	19747	34	16
NC_025457.alt2	NC_010807.alt2	42	50	16560	16609	20075	20116	21	29
NC_025457.alt2	NC_010807.alt2	54	50	33524	33573	12421	12363	27	23
NC_025457.alt2	NC_010807.alt2	54	50	33626	33675	12421	12363	27	23
NC_025457.alt2	NC_010807.alt2	66	50	46930	46979	30611	30657	33	17
NC_025457.alt2	NC_010807.alt2	61.7021	47	39115	39161	39689	39628	29	18
NC_025457.alt2	NC_010807.alt2	63.8298	47	48565	48611	20127	20196	30	17
NC_025457.alt2	NC_010807.alt2	78.7234	47	57529	57575	22892	22857	37	10
NC_025457.alt2	NC_010807.alt2	78.2609	46	33075	33120	24994	24919	36	10
NC_025457.alt2	NC_010807.alt2	55.5556	45	28296	28340	19584	19621	25	20
NC_025457.alt2	NC_010807.alt2	55.5556	45	28467	28511	19584	19621	25	20
NC_025457.alt2	NC_010807.alt2	64.4444	45	36330	36374	10166	10207	29	16
NC_025457.alt2	NC_010807.alt2	55.5556	45	60036	60080	16146	16091	25	20
NC_025457.alt2	NC_010807.alt2	52.3810	42	27880	27921	16997	17028	22	20
NC_025457.alt2	NC_010807.alt2	66.6667	42	30161	30202	26875	26821	28	14
NC_025457.alt2	NC_010807.alt2	56.0976	41	6473	6513	8850	8900	23	18
NC_025457.alt2	NC_010807.alt2	56.0976	41	6633	6673	8850	8900	23	18
NC_025457.alt2	NC_010807.alt2	63.4146	41	42984	43024	10130	10099	26	15
NC_025457.alt2	NC_010807.alt2	7e+01	40	1743	1782	5101	5062	28	12
NC_025457.alt2	NC_010807.alt2	58.9744	39	10723	10761	13061	13104	23	16
NC_025457.alt2	NC_010807.alt2	66.6667	39	46123	46161	1636	1700	26	13
NC_025457.alt2	NC_010807.alt2	71.4286	35	26900	26934	39844	39785	25	10
NC_025457.alt2	NC_010807.alt2	68.5714	35	31442	31476	38015	37981	24	11
NC_025457.alt2	NC_025457.alt1	89.3741	687	30403	31089	18593	19282	614	73
NC_025457.alt2	NC_025457.alt1	91	500	54198	54697	34637	35136	455	45
NC_025457.alt2	NC_025457.alt1	92.1444	471	27972	28442	17163	17633	434	37
NC_025457.alt2	NC_025457.alt1	92.5439	456	41844	42299	26850	27318	422	34
NC_025457.alt2	NC_025457.alt1	94.3311	441	62823	63263	39800	40240	416	25
NC_025457.alt2	NC_025457.alt1	83.9329	417	34823	35239	21596	21997	350	67
NC_025457.alt2	NC_025457.alt1	96.0976	410	27426	27835	16754	17163	394	16
NC_025457.alt2	NC_025457.alt1	95.7560	377	25591	25967	15857	16233	361	16
NC_025457.alt2	NC_025457.alt1	95.6989	372	55363	55734	35509	35880	356	16
NC_025457.alt2	NC_025457.alt1	89.1892	370	49080	49449	31352	31721	330	40
NC_025457.alt2	NC_025457.alt1	92.3913	368	9781	10148	6022	6389	340	28
NC_025457.alt2	NC_025457.alt1	86.3388	366	26320	26685	16301	16666	316	50
NC_025457.alt2	NC_025457.alt1	86.7606	355	3841	4195	2460	2805	308	47
NC_025457.alt2	NC_025457.alt1	88.3191	351	53042	53392	33605	33955	310	41
NC_025457.alt2	NC_025457.alt1	89.1117	349	11476	11824	7696	8044	311	38
NC_025457.alt2	NC_025457.alt1	95.0725	345	45749	46093	29080	29424	328	17
NC_025457.alt2	NC_025457.alt1	91.3846	325	39657	39981	25095	25419	297	28
NC_025457.alt2	NC_025457.alt1	76.7802	323	47293	47615	30325	30588	248	75
NC_025457.alt2	NC_025457.alt1	90.0312	321	31904	32224	19809	20129	289	32
NC_025457.alt2	NC_025457.alt1	99.0566	318	54698	55015	34990	35307	315	3
NC_025457.alt2	NC_025457.alt1	89.2405	316	7655	7970	4978	5293	282	34
NC_025457.alt2	NC_025457.alt1	85.5305	311	1431	1741	785	1153	266	45
NC_025457.alt2	NC_025457.alt1	83.0619	307	5332	5638	3555	3846	255	52
NC_025457.alt2	NC_025457.alt1	89.1986	287	25968	26254	16055	16334	256	31
NC_025457.alt2	NC_025457.alt1	98.2394	284	22703	22986	14312	14595	279	5
NC_025457.alt2	NC_025457.alt1	83.2740	281	21046	21326	12822	13089	234	47
NC_025457.alt2	NC_025457.alt1	85.4093	281	29624	29904	18172	18438	240	41
NC_025457.alt2	NC_025457.alt1	86.1210	281	32820	33100	20296	20576	242	39
NC_025457.alt2	NC_025457.alt1	86.0714	280	52550	52829	33251	33526	241	39
NC_025457.alt2	NC_025457.alt1	98.5663	279	20209	20487	12245	12523	275	4
NC_025457.alt2	NC_025457.alt1	95.6522	276	10149	10424	6215	6490	264	12
NC_025457.alt2	NC_025457.alt1	97.3485	264	28443	28706	17463	17726	257	7
NC_025457.alt2	NC_025457.alt1	89.7338	263	63272	63534	40246	40508	236	27
NC_025457.alt2	NC_025457.alt1	94.1634	257	59089	59345	37746	38002	242	15
NC_025457.alt2	NC_025457.alt1	86	250	34274	34523	21056	21305	215	35
NC_025457.alt2	NC_025457.alt1	89.5582	249	290	538	140	388	223	26
NC_025457.alt2	NC_025457.alt1	91.9355	248	11206	11453	7453	7700	228	20
NC_025457.alt2	NC_025457.alt1	99.5935	246	12041	12286	31965	31720	245	1
